faoCode,faoName,scientificName
AAB,Twobar seabream,Acanthopagrus bifasciatus
AAE,Tailjet frogfish,Antennarius analis
AAG,Indian mottled eel,Anguilla bengalensis
AAJ,African longfin eel,Anguilla mossambica
AAL,Giant mottled eel,Anguilla marmorata
AAQ,New Zealand longfin eel,Anguilla dieffenbachii
AAR,Speckled longfin eel,Anguilla reinhardtii
AAT,Indonesian shortfin eel,Anguilla bicolor
AAZ,Aploactis aspera,Aploactis aspera
ABF,Red abalone,Haliotis rufescens
ABG,Giant abalone,Haliotis gigantea
ABJ,Japanese abalone,Haliotis discus
ABM,Small abalone,Haliotis diversicolor
ABP,Perlemoen abalone,Haliotis midae
ABR,Blacklip abalone,Haliotis rubra
ABS,Northern brown shrimp,Penaeus aztecus
ABU,Sergeant-major,Abudefduf saxatilis
ABV,Pygmy shore-eel,Alabes parvulus
ABW,Redskinfish,Ablabys binotatus
ABX,Abalones nei,Haliotis spp
ABZ,Small sandeel,Ammodytes tobianus
ACA,Acromycter nezumi,Acromycter nezumi
ACD,Mottled false moray,Chlopsis dentatus
ACE,Paruroconger drachi,Paruroconger drachi
ACH,Arctic char,Salvelinus alpinus
ACJ,Japonoconger africanus,Japonoconger africanus
ACK,False moray,Kaupichthys hyoproroides
ACL,Brown garden eel,Heteroconger longissimus
ACM,Macrocephenchelys brachialis,Macrocephenchelys brachialis
ACN,Hooktooth dogfish,Aculeola nigra
ACO,Coloconger raniceps,Coloconger raniceps
ACP,Flatnose xenocongrid eel,Chilorhinus platyrhynchus
ACQ,Astrocottus leprops,Astrocottus leprops
ACR,"Glow-bellies, splitfins nei",Acropomatidae
ACS,Spotted garden-eel,Heteroconger hassi
ACT,Margintail conger,Paraconger caudilimbatus
ACU,Lumiconger arafura,Lumiconger arafura
ACV,Bandfish,Acanthocepola abbreviata
ACW,Amblycirrhitus earnshawi,Amblycirrhitus earnshawi
ACX,Deep-water mud lobster,Acanthaxius caespitosa
ACY,Parabathymyrus macrophthalmus,Parabathymyrus macrophthalmus
ADD,Narrownecked oceanic eel,Derichthys serpentinus
