code	description
03021180	Fresh or chilled trout "Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae" (excl. of the species "Oncorhynchus mykiss", with heads on and gills on, gutted, weighing > 1,2 kg each, or with heads off, gilled and gutted, weighing > 1 kg each)
03021300	Fresh or chilled Pacific salmon "Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"
03021400	Fresh or chilled Atlantic salmon "Salmo salar" and Danube salmon "Hucho hucho"
03021900	Fresh or chilled salmonidae (excl. trout "Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster", Pacific salmon "Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus", Atlantic salmon "Salmo salar" and Danube salmon "Hucho hucho")
03022110	Fresh or chilled lesser or Greenland halibut "Reinhardtius hippoglossoides"
03022130	Fresh or chilled Atlantic halibut "Hippoglossus hippoglossus"
03022190	Fresh or chilled Pacific halibut "Hippoglossus stenolepis"
03022200	Fresh or chilled plaice "Pleuronectes platessa"
03022300	Fresh or chilled sole "Solea spp."
03022400	Fresh or chilled turbot "Psetta maxima"
03022910	Fresh or chilled megrim "Lepidorhombus spp."
03022980	Fresh or chilled flat fish "Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Catharidae" (excl. lesser or Greenland halibut, Atlantic halibut, Pacific halibut, plaice, sole, turbot and megrim)
03023110	Fresh or chilled albacore or longfinned tunas "Thunnus alalunga" for industrial processing or preservation
03023190	Fresh or chilled albacore or longfinned tunas "Thunnus alalunga" (excl. for industrial processing or preservation)
03023210	Fresh or chilled yellowfin tunas "Thunnus albacares" for industrial processing or preservation
03023290	Fresh or chilled yellowfin tunas "Thunnus albacares" (excl. for industrial processing or preservation)
03023310	Fresh or chilled skipjack or stripe-bellied bonito for industrial processing or preservation
03023390	Fresh or chilled skipjack or stripe-bellied bonito (excl. for industrial processing or preservation)
03023410	Fresh or chilled bigeye tunas "Thunnus obesus" for industrial processing or preservation
03023490	Fresh or chilled bigeye tunas "Thunnus obesus" (excl. tunas for industrial processing or preservation)
03023511	Fresh or chilled Atlantic bluefin tuna "Thunnus thynnus", for industrial processing or preservation
03023519	Fresh or chilled Atlantic bluefin tuna "Thunnus thynnus" (excl. for industrial processing or preservation)
03023591	Fresh or chilled Pacific bluefin tuna "Thunnus orientalis", for industrial processing or preservation
03023599	Fresh or chilled Pacific bluefin tuna "Thunnus orientalis" (excl. for industrial processing or preservation)
03023610	Fresh or chilled Southern bluefin tunas "Thunnus maccoyii" for industrial processing or preservation
03023690	Fresh or chilled Southern bluefin tunas "Thunnus maccoyii" (excl. tunas for industrial processing or preservation)
03023920	Fresh or chilled tunas of the genus "Thunnus" for industrial processing or preservation (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)
03023980	Fresh or chilled tunas of the genus "Thunnus" (excl. tunas for industrial processing or preservation and Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)
03024100	Fresh or chilled herring "Clupea harengus, clupea pallasii"
03024200	Fresh or chilled anchovies "Engraulis spp."
03024310	Fresh or chilled sardines "Sardina pilchardus"
03024330	Fresh or chilled sardines "Sardinops spp." and sardinella "Sardinella spp."
03024390	Fresh or chilled brisling or sprats "Sprattus sprattus"
03024400	Fresh or chilled mackerel "Scomber scombrus, Scomber australasicus, Scomber japonicus"
03024510	Fresh or chilled Atlantic horse mackerel "Trachurus trachurus"
03024530	Fresh or chilled Chilean jack mackerel "Trachurus murphyi"
03024590	Fresh or chilled jack and horse mackerel "Trachurus spp." "(excl. Atlantic horse mackerel and Chilean jack mackerel)
03024600	Fresh or chilled cobia "Rachycentron canadum"
03024700	Fresh or chilled swordfish "Xiphias gladius"
03024911	Fresh or chilled Kawakawa "Euthynnus affinis" for industrial processing or preservation
03024919	Fresh or chilled Kawakawa "Euthynnus affinis" (excl. for industrial processing or preservation)
03024990	Fresh or chilled Indian mackerels "Rastrelliger spp.", seerfishes "Scomberomorus spp.", jacks, crevalles "Caranx spp.", silver pomfrets "Pampus spp.", Pacific saury "Cololabis saira", scads "Decapterus spp.", capelin "Mallotus villosus", bonitos "Sarda spp.", marlins, sailfishes and spearfish "Istiophoridae"
03025110	Fresh or chilled cod "Gadus morhua"
03025190	Fresh or chilled cod "Gadus ogac, Gadus macrocephalus"
03025200	Fresh or chilled haddock "Melanogrammus aeglefinus"
03025300	Fresh or chilled coalfish "Pollachius virens"
03025411	Fresh or chilled Cape hake "shallow-water hake" "Merluccius capensis" and deepwater hake "deepwater Cape hake" "Merluccius paradoxus"
03025415	Fresh or chilled southern hake "Merluccius australis"
03025419	Fresh or chilled hake "Merluccius spp." (excl. cape hake, deepwater hake and southern hake)
03025490	Fresh or chilled hake "Urophycis spp."
03025500	Fresh or chilled Alaska pollack "Theragra chalcogramma"
03025600	Fresh or chilled blue whiting "Micromesistius poutassou, Micromesistius australis"
03025910	Fresh or chilled fish of the species Boreogadus saida
03025920	Fresh or chilled whiting "Merlangius merlangus"
