Name,Abbreviation ,Full text,,,,,,
Commission for the Conservation of Antarctic Marine Living Resources,CCAMLR,Commission for the Conservation of Antarctic Marine Living Resources (CCAMLR),,,,,,
General Fisheries Commission for the Mediterranean,GFCM,General Fisheries Commission for the Mediterranean (GFCM),,,,,,
North East Atlantic Fisheries Commission,NEAFC,North East Atlantic Fisheries Commission (NEAFC),,,,,,
Northwest Atlantic Fisheries Organization,NAFO,Northwest Atlantic Fisheries Organization (NAFO),,,,,,
North Pacific Fisheries Commission,NPFC,North Pacific Fisheries Commission (NPFC),,,,,,
South East Atlantic Fisheries Organisation,SEAFO,South East Atlantic Fisheries Organisation (SEAFO),,,,,,
South Pacific Regional Fisheries Management Organisation,SPRFMO,South Pacific Regional Fisheries Management Organisation (SPRFMO),,,,,,
Southern Indian Ocean Fisheries Agreement,SIOFA,Southern Indian Ocean Fisheries Agreement (SIOFA),,,,,,
Western and Central Pacific Fisheries Commission,WCPFC,Western and Central Pacific Fisheries Commission (WCPFC),,,,,,
Commission for the Conservation of Southern Bluefin Tuna,CCSBT,Commission for the Conservation of Southern Bluefin Tuna (CCSBT),,,,,,
International Commission for the Conservation of Atlantic Tunas,ICCAT,International Commission for the Conservation of Atlantic Tunas (ICCAT),,,,,,
Indian Ocean Tuna Commission,IOTC,Indian Ocean Tuna Commission (IOTC),,,,,,
Inter-American Tropical Tuna Commission,IATTC,Inter-American Tropical Tuna Commission (IATTC),,,,,,
North Atlantic Salmon Conservation Organization,NASCO,North Atlantic Salmon Conservation Organization (NASCO),,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
